Part,Qty,Price,Link,Notes
GT2 Open Timing Belt 6mm 5m,1,$8.99,https://www.amazon.com/dp/B0CHQ8RVWY,"Pangyoo PU steel-core, select 5m/6mm"
1/4" Plywood 2x4,1,$7.00,https://www.homedepot.com/b/Lumber-Composites-Plywood/1-4/Homasote/2-ft-x-4-ft/N-5yc1vZbqo4Z1z0lewe,"Bed base — check local hardware store"
,,,,,
,,,,"Total: ~$16"
,,,,
,,,,"Everything else reused from 2x Ender 3 donors:"
,,,,"  - 4040 aluminum extrusion"
,,,,"  - NEMA 17 stepper motors (x4)"
,,,,"  - Lead screws (x2)"
,,,,"  - STM32F103RC controller"
,,,,"  - BLTouch probe"
,,,,"  - Wiring harness"
,,,,"  - Fans"
,,,,"  - All bolts/screws"
